"Number.of.Vehicles","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Daylight.Dark","Weather.Conditions","Type.of.Vehicle","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty"
"298",2,2017-11-19,"10:30",6,1,1,"Daylight",1,9,1,3,2,62
"299",2,2017-11-19,"15:15",3,1,1,"Daylight",1,19,2,2,1,47
"301",2,2017-11-23,"16:10",1,2,4,"Dark",2,9,1,3,1,51
"302",2,2017-11-24,"14:07",3,2,1,"Daylight",1,9,1,3,1,37
"303",2,2017-11-25,"13:30",6,2,1,"Daylight",1,9,1,3,1,66
"304",1,2017-11-27,"13:08",6,2,1,"Daylight",1,9,3,3,1,14
"305",2,2017-11-28,"08:50",6,1,1,"Daylight",1,3,1,3,1,27
"306",2,2017-11-28,"14:26",3,1,1,"Daylight",1,9,1,3,2,35
"307",1,2017-11-28,"15:35",6,2,1,"Daylight",1,9,3,3,1,6
"308",1,2017-11-29,"18:35",6,2,4,"Dark",1,97,3,3,1,75
"309",1,2017-11-30,"16:35",6,2,4,"Dark",1,9,3,3,1,10
"310",2,2017-12-01,"10:55",3,2,1,"Daylight",1,9,1,3,1,73
"311",2,2017-12-01,"17:00",6,1,4,"Dark",1,9,1,3,1,44
"312",2,2017-12-04,"08:50",3,2,1,"Daylight",1,9,2,2,1,12
"313",2,2017-12-01,"17:45",1,1,4,"Dark",1,9,1,3,1,60
"314",2,2017-12-05,"11:20",3,1,1,"Daylight",1,19,1,3,1,18
"315",3,2017-12-06,"13:57",6,1,1,"Daylight",1,9,1,2,1,88
"316",2,2017-12-07,"08:29",6,1,1,"Daylight",1,9,1,3,1,35
"317",2,2017-12-08,"08:15",6,3,1,"Daylight",1,9,1,3,2,67
"318",2,2017-12-09,"15:21",6,2,1,"Daylight",1,9,2,3,2,50
"319",1,2017-12-12,"08:20",6,2,1,"Daylight",1,8,3,3,1,15
"320",2,2017-12-12,"12:00",3,2,1,"Daylight",1,9,1,3,2,83
"321",1,2017-12-14,"05:21",6,4,4,"Dark",8,9,1,3,2,46
"322",2,2017-12-13,"13:25",3,2,1,"Daylight",1,8,1,3,1,36
"323",1,2017-12-14,"16:17",6,1,1,"Daylight",1,9,3,3,1,14
"324",2,2017-12-15,"14:46",1,1,1,"Daylight",1,9,1,3,2,58
"325",2,2017-12-16,"13:02",1,4,1,"Daylight",1,9,2,2,1,23
"326",1,2017-12-18,"14:10",3,1,1,"Daylight",1,9,1,3,1,67
"327",1,2017-12-19,"15:30",6,1,1,"Daylight",1,9,3,3,2,15
"328",1,2017-12-21,"18:15",3,2,4,"Dark",2,11,3,1,1,49
"329",2,2017-12-22,"08:18",6,2,1,"Daylight",1,1,1,3,1,38
"330",2,2017-12-24,"19:30",3,2,4,"Dark",1,9,1,2,1,72
"331",2,2017-12-26,"12:17",3,1,1,"Daylight",1,9,2,3,2,74
"332",2,2017-12-27,"18:59",6,2,4,"Dark",1,9,1,3,2,88
"333",3,2017-12-27,"20:53",6,2,4,"Dark",1,9,1,2,2,31
"334",1,2017-12-28,"11:32",6,1,1,"Daylight",1,9,3,3,1,9
"335",3,2017-12-28,"20:20",3,4,4,"Dark",1,9,1,2,1,24
"336",2,2017-12-31,"13:31",6,1,1,"Daylight",1,9,1,3,1,28
"337",1,2016-01-01,"00:52",3,2,4,"Dark",1,8,3,3,1,27
"338",1,2016-01-01,"12:04",6,2,1,"Daylight",1,9,1,3,2,87
"339",2,2016-01-01,"14:00",6,1,1,"Daylight",1,9,1,3,1,23
"340",1,2016-01-02,"16:30",3,2,4,"Dark",2,9,3,3,2,65
"341",2,2016-01-03,"17:00",3,2,4,"Dark",2,1,1,3,1,24
"342",2,2016-01-06,"07:34",6,2,4,"Dark",1,3,1,3,1,26
"343",2,2016-01-06,"09:50",3,2,1,"Daylight",1,9,1,3,2,82
"344",2,2016-01-06,"09:50",3,2,1,"Daylight",1,21,1,3,1,32
"345",2,2016-01-07,"08:46",3,2,1,"Daylight",2,9,1,3,2,25
