"Number.of.Vehicles","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Daylight.Dark","Weather.Conditions","Type.of.Vehicle","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty"
"1033",2,2015-04-17,"07:19",3,1,1,"Daylight",1,2,1,3,2,28
"1034",2,2015-04-17,"15:36",3,1,1,"Daylight",1,9,1,3,1,39
"1035",2,2015-04-20,"07:44",4,1,1,"Daylight",1,9,1,3,2,24
"1036",2,2015-04-20,"08:00",3,1,1,"Daylight",1,1,1,3,1,28
"1037",1,2015-04-21,"15:55",4,1,1,"Daylight",1,9,3,3,1,13
"1038",2,2015-04-22,"15:27",6,1,1,"Daylight",1,9,1,3,1,27
"1039",2,2015-04-23,"07:45",3,1,1,"Daylight",1,9,1,3,2,31
"1040",2,2015-04-25,"09:20",6,2,1,"Daylight",2,3,1,3,2,17
"1041",2,2015-04-26,"00:09",3,1,4,"Dark",1,9,1,3,1,25
"1042",2,2015-04-26,"00:09",3,1,4,"Dark",1,8,2,3,2,32
"1043",2,2015-04-26,"00:09",3,1,4,"Dark",1,8,1,3,1,34
"1044",2,2015-04-26,"00:09",3,1,4,"Dark",1,9,2,3,2,32
"1045",3,2015-04-26,"15:00",3,1,1,"Daylight",1,9,2,3,2,22
"1046",3,2015-04-26,"15:00",3,1,1,"Daylight",1,9,2,3,2,20
"1047",1,2015-04-27,"14:25",6,1,1,"Daylight",1,3,1,3,1,29
"1048",2,2015-04-27,"16:44",3,1,1,"Daylight",1,1,1,3,1,16
"1049",2,2015-04-27,"16:00",6,1,1,"Daylight",1,1,1,3,1,19
"1050",1,2015-05-01,"00:55",3,1,4,"Dark",1,9,1,3,1,23
"1051",1,2015-05-01,"00:55",3,1,4,"Dark",1,9,2,3,2,23
"1052",1,2015-05-01,"18:40",3,1,1,"Daylight",1,9,2,3,2,19
"1053",1,2015-05-01,"18:40",3,1,1,"Daylight",1,9,2,3,2,19
"1054",1,2015-05-01,"18:40",3,1,1,"Daylight",1,9,1,3,2,20
"1055",1,2015-05-02,"11:45",6,2,1,"Daylight",2,9,3,3,2,64
"1056",2,2015-05-03,"07:20",1,2,1,"Daylight",2,19,1,3,1,30
"1057",2,2015-05-03,"09:36",3,2,1,"Daylight",2,9,2,3,2,43
"1058",2,2015-05-03,"10:34",3,2,1,"Daylight",2,9,1,3,2,31
"1059",2,2015-05-03,"11:26",3,1,1,"Daylight",1,9,1,3,1,22
"1060",2,2015-05-03,"11:26",3,1,1,"Daylight",1,9,1,3,1,20
"1061",2,2015-05-03,"17:49",4,1,1,"Daylight",1,3,1,3,1,32
"1062",2,2015-05-04,"01:22",6,1,4,"Dark",1,9,1,3,1,22
"1063",2,2015-05-04,"01:22",6,1,4,"Dark",1,8,1,3,1,42
"1064",2,2015-05-07,"00:46",6,1,4,"Dark",1,3,1,3,1,19
"1065",2,2015-05-08,"16:40",3,1,1,"Daylight",1,9,1,3,2,24
"1066",2,2015-05-08,"21:02",6,2,1,"Daylight",5,9,1,3,1,41
"1067",2,2015-05-09,"22:50",3,1,1,"Daylight",1,1,1,3,1,43
"1068",2,2015-05-09,"23:25",3,1,7,"Dark",1,9,1,3,2,60
"1069",2,2015-05-10,"14:15",6,1,1,"Daylight",1,1,1,3,1,48
"1070",3,2015-05-11,"17:33",1,1,1,"Daylight",1,9,1,3,2,25
"1071",3,2015-05-11,"17:33",1,1,1,"Daylight",1,9,1,3,2,39
"1072",2,2015-05-13,"12:33",6,1,1,"Daylight",1,9,3,3,1,74
"1073",2,2015-05-14,"06:40",3,1,1,"Daylight",1,1,1,3,1,14
"1074",3,2015-05-14,"10:15",6,1,1,"Daylight",1,9,1,3,2,53
"1075",2,2015-05-16,"08:30",6,1,1,"Daylight",1,9,1,1,1,81
"1076",2,2015-05-16,"08:30",6,1,1,"Daylight",1,9,1,3,1,45
"1077",1,2015-05-15,"16:20",6,1,1,"Daylight",1,9,3,2,1,11
"1078",1,2015-05-16,"14:56",6,1,1,"Daylight",1,90,2,2,1,2
"1079",1,2015-05-16,"19:05",6,1,1,"Daylight",1,9,3,3,1,8
"1080",2,2015-05-17,"13:00",3,1,1,"Daylight",1,9,2,3,1,29
"1081",2,2015-05-17,"13:00",3,1,1,"Daylight",1,9,1,3,1,39
"1082",1,2015-05-19,"15:19",6,1,1,"Daylight",1,9,3,3,1,66
"1083",3,2015-05-21,"16:10",4,1,1,"Daylight",1,9,1,3,1,18
"1084",3,2015-05-21,"16:10",4,1,1,"Daylight",1,9,2,3,1,19
"1085",3,2015-05-21,"16:10",4,1,1,"Daylight",1,9,2,3,2,17
"1086",3,2015-05-21,"16:10",4,1,1,"Daylight",1,9,2,3,1,19
"1087",3,2015-05-21,"16:10",4,1,1,"Daylight",1,9,1,3,2,54
"1088",3,2015-05-21,"16:10",4,1,1,"Daylight",1,9,1,3,1,44
"1089",3,2015-05-23,"11:45",3,1,1,"Daylight",1,5,1,2,1,27
"1090",1,2015-05-25,"02:00",6,1,1,"Daylight",1,8,3,3,1,25
"1091",3,2015-05-26,"08:00",3,1,1,"Daylight",1,9,1,3,1,21
"1092",1,2015-05-26,"14:21",3,1,1,"Daylight",1,3,1,3,1,23
"1093",2,2015-05-27,"13:00",6,1,1,"Daylight",1,9,1,3,1,23
"1094",2,2015-05-27,"13:00",6,1,1,"Daylight",1,9,2,3,2,18
"1095",2,2015-05-28,"19:15",6,1,1,"Daylight",1,9,1,3,1,57
"1096",2,2015-05-29,"19:08",6,1,1,"Daylight",1,9,1,3,1,34
"1097",1,2015-05-31,"01:50",6,2,6,"",2,8,3,3,1,19
"1098",2,2015-05-02,"12:15",3,1,1,"Daylight",1,5,1,3,1,53
"1099",5,2015-06-01,"06:00",1,1,1,"Daylight",1,9,1,3,1,53
"1100",5,2015-06-01,"06:00",1,1,1,"Daylight",1,9,1,3,1,23
"1101",3,2015-06-01,"17:05",6,2,1,"Daylight",2,9,1,3,1,19
"1102",3,2015-06-01,"17:05",6,2,1,"Daylight",2,9,1,3,1,20
"1103",4,2015-06-01,"19:00",3,2,1,"Daylight",5,9,1,3,1,42
"1104",4,2015-06-01,"19:00",3,2,1,"Daylight",5,9,1,3,2,41
"1105",4,2015-06-01,"19:00",3,2,1,"Daylight",5,9,1,3,1,37
"1106",4,2015-06-01,"19:00",3,2,1,"Daylight",5,9,1,3,1,22
"1107",2,2015-06-02,"08:10",3,1,1,"Daylight",1,5,1,3,1,35
"1108",2,2015-06-04,"15:59",3,1,1,"Daylight",1,9,1,3,2,47
"1109",2,2015-06-04,"15:59",3,1,1,"Daylight",1,9,2,3,2,27
"1110",2,2015-06-04,"15:59",3,1,1,"Daylight",1,9,2,3,2,25
"1111",2,2015-06-04,"15:59",3,1,1,"Daylight",1,9,2,3,2,60
"1112",2,2015-06-04,"15:59",3,1,1,"Daylight",1,9,2,3,2,44
"1113",1,2015-06-05,"15:42",6,1,1,"Daylight",1,9,2,3,2,10
"1114",2,2015-06-05,"19:03",3,1,1,"Daylight",1,9,1,2,2,34
"1115",2,2015-06-05,"19:03",3,1,1,"Daylight",1,9,1,3,2,40
"1116",2,2015-05-31,"10:05",3,1,1,"Daylight",1,1,1,2,1,25
"1117",2,2015-06-08,"18:35",6,1,1,"Daylight",1,9,3,2,2,9
"1118",2,2015-06-08,"19:30",4,1,1,"Daylight",1,21,1,3,1,49
"1119",2,2015-06-09,"17:10",3,1,1,"Daylight",1,4,1,2,2,24
"1120",2,2015-06-09,"17:25",3,1,1,"Daylight",1,3,1,3,1,42
"1121",2,2015-06-10,"06:30",3,1,1,"Daylight",1,1,1,3,1,43
"1122",2,2015-06-12,"18:00",4,1,1,"Daylight",1,1,1,3,1,19
"1123",2,2015-06-13,"11:10",6,1,1,"Daylight",1,9,1,3,1,28
"1124",2,2015-06-13,"11:10",6,1,1,"Daylight",1,9,2,3,2,29
"1125",3,2015-06-13,"12:14",3,1,1,"Daylight",1,21,1,3,1,52
"1126",2,2015-06-13,"20:50",6,1,1,"Daylight",1,9,2,3,2,24
"1127",3,2015-06-15,"10:45",3,1,1,"Daylight",1,1,1,2,1,42
"1128",2,2015-06-16,"12:25",6,1,1,"Daylight",1,19,1,3,1,42
"1129",2,2015-06-16,"13:43",3,1,1,"Daylight",1,19,1,3,1,60
"1130",1,2015-06-16,"17:20",3,1,1,"Daylight",1,11,2,3,1,3
"1131",2,2015-06-17,"12:52",3,2,1,"Daylight",2,9,1,3,2,52
"1132",2,2015-06-17,"12:52",3,2,1,"Daylight",2,9,1,3,2,25
"1133",1,2015-06-17,"13:30",3,2,1,"Daylight",2,9,3,3,2,30
"1134",2,2015-06-18,"09:50",3,1,1,"Daylight",1,8,1,3,1,50
"1135",2,2015-06-18,"09:50",3,1,1,"Daylight",1,8,2,3,2,44
"1136",2,2015-06-18,"09:50",3,1,1,"Daylight",1,9,1,3,1,28
"1137",2,2015-06-18,"16:05",3,1,1,"Daylight",4,1,1,3,1,51
"1138",1,2015-06-18,"17:15",6,1,1,"Daylight",1,9,3,3,2,30
"1139",2,2015-06-20,"12:00",6,2,1,"Daylight",1,9,1,3,1,36
"1140",1,2015-06-20,"14:30",6,1,1,"Daylight",1,17,1,3,2,20
"1141",2,2015-06-20,"23:05",6,1,4,"Dark",1,8,2,3,2,22
"1142",1,2015-06-22,"18:50",6,1,1,"Daylight",1,4,1,2,1,17
"1143",3,2015-06-23,"17:30",3,1,1,"Daylight",1,9,1,3,1,35
"1144",3,2015-06-23,"17:30",3,1,1,"Daylight",1,9,2,3,2,74
"1145",2,2015-06-25,"12:00",3,1,1,"Daylight",1,3,1,3,1,18
"1146",1,2015-06-25,"13:10",3,1,1,"Daylight",1,9,1,3,2,71
"1147",2,2015-06-25,"13:20",6,1,1,"Daylight",1,1,1,2,1,45
"1148",1,2015-06-26,"20:30",4,1,1,"Daylight",1,9,2,3,1,24
"1149",2,2015-06-27,"20:10",3,1,1,"Daylight",1,9,2,3,2,34
"1150",2,2015-06-27,"20:50",3,1,4,"Dark",1,9,1,2,1,38
"1151",2,2015-06-27,"20:50",3,1,4,"Dark",1,9,2,2,1,19
"1152",2,2015-06-27,"20:50",3,1,4,"Dark",1,9,2,2,1,35
"1153",2,2015-06-27,"20:50",3,1,4,"Dark",1,9,1,2,1,22
"1154",2,2015-06-27,"20:50",3,1,4,"Dark",1,9,2,2,1,20
"1155",2,2015-06-27,"20:50",3,1,4,"Dark",1,9,2,2,1,19
"1156",2,2015-06-27,"20:50",3,1,4,"Dark",1,9,2,2,1,17
"1157",2,2015-06-27,"20:50",3,1,4,"Dark",1,9,2,2,1,19
"1158",1,2015-06-28,"20:50",3,1,1,"Daylight",1,9,3,3,1,42
"1159",3,2015-06-28,"22:45",6,1,4,"Dark",1,9,2,1,2,16
"1160",3,2015-06-28,"22:45",6,1,4,"Dark",1,9,2,3,2,28
"1161",3,2015-06-28,"22:45",6,1,4,"Dark",1,9,1,2,2,22
"1162",1,2015-06-30,"10:50",3,1,1,"Daylight",1,3,1,3,1,46
"1163",2,2015-06-30,"07:35",3,1,1,"Daylight",1,9,2,3,2,50
"1164",2,2015-06-30,"07:35",3,1,1,"Daylight",1,9,1,3,1,57
"1165",2,2015-06-30,"07:35",3,1,1,"Daylight",1,9,1,3,2,47
"1166",1,2015-07-01,"12:28",3,1,1,"Daylight",1,21,3,3,2,86
"1167",1,2015-07-01,"16:45",6,1,1,"Daylight",1,3,1,3,1,32
"1168",2,2015-07-01,"17:15",3,1,1,"Daylight",1,9,2,3,1,9
"1169",2,2015-07-02,"19:00",3,1,1,"Daylight",1,1,1,3,1,35
"1170",2,2015-07-02,"20:55",6,1,1,"Daylight",1,9,1,3,1,46
"1171",2,2015-07-02,"20:55",6,1,1,"Daylight",1,9,1,2,1,49
"1172",2,2015-07-03,"07:05",3,1,1,"Daylight",1,4,1,3,2,21
"1173",1,2015-07-03,"11:55",3,1,1,"Daylight",1,9,3,2,1,41
"1174",2,2015-07-05,"17:55",3,1,1,"Daylight",1,9,2,2,2,51
"1175",2,2015-07-05,"17:55",3,1,1,"Daylight",1,9,1,3,1,62
"1176",2,2015-07-05,"17:55",3,1,1,"Daylight",1,9,1,3,2,44
"1177",1,2015-07-06,"15:41",6,1,1,"Daylight",1,9,3,3,2,7
"1178",1,2015-07-07,"15:35",6,1,1,"Daylight",1,9,1,3,2,56
"1179",2,2015-07-07,"22:30",3,2,4,"Dark",1,9,1,2,2,48
"1180",2,2015-07-07,"22:30",3,2,4,"Dark",1,9,2,2,1,30
"1181",2,2015-07-07,"22:30",3,2,4,"Dark",1,9,1,2,1,33
"1182",1,2015-07-08,"00:00",6,2,1,"Daylight",2,9,3,3,2,14
"1183",1,2015-07-08,"19:58",3,1,1,"Daylight",1,9,3,2,1,8
"1184",1,2015-07-03,"12:50",6,1,1,"Daylight",1,21,3,3,2,42
"1185",2,2015-07-10,"11:50",6,1,1,"Daylight",1,1,1,3,1,21
"1186",3,2015-07-10,"13:58",3,1,1,"Daylight",1,9,1,3,2,55
"1187",3,2015-07-10,"13:58",3,1,1,"Daylight",1,9,1,3,2,45
"1188",2,2015-07-12,"11:14",3,1,1,"Daylight",1,9,1,3,1,65
"1189",2,2015-07-13,"15:17",3,1,1,"Daylight",1,9,1,3,1,37
"1190",2,2015-07-13,"15:17",3,1,1,"Daylight",1,9,1,2,2,65
"1191",2,2015-07-13,"16:35",1,1,1,"Daylight",1,9,1,3,2,47
"1192",2,2015-07-14,"13:27",6,1,1,"Daylight",1,9,1,3,2,25
"1193",2,2015-07-14,"13:27",6,1,1,"Daylight",1,9,1,3,2,36
"1194",2,2015-07-15,"13:52",6,1,1,"Daylight",1,1,1,3,1,59
"1195",2,2015-07-15,"18:03",3,1,1,"Daylight",1,3,1,2,1,54
"1196",4,2015-07-16,"22:55",6,1,4,"Dark",1,9,1,3,1,32
"1197",4,2015-07-16,"22:55",6,1,4,"Dark",1,9,2,3,1,19
"1198",2,2015-07-17,"08:09",6,1,1,"Daylight",1,9,1,3,2,57
"1199",2,2015-07-17,"16:30",6,1,1,"Daylight",1,9,1,3,1,46
"1200",2,2015-07-17,"12:26",6,1,1,"Daylight",1,9,1,3,2,31
"1201",2,2015-07-20,"05:54",3,1,1,"Daylight",1,3,1,3,1,37
"1202",2,2015-07-22,"08:10",4,1,1,"Daylight",1,9,1,2,2,41
"1203",1,2015-07-22,"17:38",3,1,1,"Daylight",1,9,3,3,2,11
"1204",1,2015-07-24,"15:10",6,1,1,"Daylight",1,9,3,3,2,25
"1205",2,2015-07-24,"22:00",3,1,4,"Dark",1,9,1,3,2,39
"1206",1,2015-07-24,"23:15",6,1,4,"Dark",1,9,3,2,1,24
"1207",1,2015-07-25,"12:24",3,1,1,"Daylight",1,9,3,3,1,55
"1208",1,2015-07-25,"17:00",6,1,1,"Daylight",1,90,3,2,1,13
"1209",2,2015-07-26,"17:30",6,2,1,"Daylight",2,9,2,3,1,39
"1210",1,2015-07-27,"13:30",3,2,1,"Daylight",2,3,1,3,2,17
"1211",2,2015-07-28,"16:36",6,1,1,"Daylight",1,1,1,2,1,18
"1212",2,2015-07-30,"08:10",3,2,1,"Daylight",1,5,1,3,1,58
"1213",2,2015-07-30,"17:40",6,1,1,"Daylight",1,1,1,2,1,30
"1214",2,2015-07-31,"12:25",3,1,1,"Daylight",1,9,1,3,1,83
"1215",2,2015-07-31,"16:16",3,1,1,"Daylight",1,9,2,2,2,34
"1216",2,2015-07-31,"16:15",6,1,1,"Daylight",1,9,2,3,2,45
"1217",2,2015-07-31,"16:15",6,1,1,"Daylight",1,9,1,3,1,54
"1218",2,2015-07-31,"16:20",3,1,1,"Daylight",1,3,1,3,1,18
"1220",2,2015-08-04,"15:26",6,2,1,"Daylight",2,9,2,3,2,26
"1221",2,2015-08-06,"19:07",6,1,1,"Daylight",1,9,2,3,2,19
"1222",1,2015-08-06,"20:05",3,1,1,"Daylight",1,9,1,3,2,57
"1223",2,2015-08-03,"14:25",3,1,1,"Daylight",1,9,1,3,1,35
"1224",2,2015-08-07,"15:25",1,1,1,"Daylight",1,9,2,3,2,6
"1225",2,2015-08-07,"15:25",1,1,1,"Daylight",1,9,2,3,2,10
"1226",2,2015-08-07,"15:25",1,1,1,"Daylight",1,9,2,3,2,39
"1227",2,2015-08-07,"15:25",1,1,1,"Daylight",1,9,2,3,2,21
"1228",2,2015-08-07,"15:25",1,1,1,"Daylight",1,9,1,3,2,22
"1229",2,2015-08-07,"15:25",1,1,1,"Daylight",1,9,2,3,2,44
"1230",2,2015-08-07,"15:25",1,1,1,"Daylight",1,9,2,3,2,18
"1231",1,2015-08-07,"21:20",6,1,4,"Dark",1,9,3,3,1,44
"1232",2,2015-08-08,"08:30",3,1,1,"Daylight",1,1,1,3,1,45
"1233",1,2015-08-08,"01:45",6,1,4,"Dark",1,9,3,2,1,22
"1234",1,2015-08-08,"21:00",6,1,1,"Daylight",1,9,3,3,2,12
"1235",2,2015-08-11,"19:14",3,1,1,"Daylight",1,5,1,3,1,66
"1236",4,2015-08-12,"08:14",6,1,1,"Daylight",1,9,1,3,1,67
"1237",1,2015-08-13,"16:25",6,1,1,"Daylight",1,11,3,3,1,74
"1238",1,2015-08-14,"02:09",3,2,4,"Dark",2,4,1,3,1,20
"1239",2,2015-08-14,"14:50",6,2,1,"Daylight",2,9,2,3,2,28
"1240",2,2015-08-14,"14:50",6,2,1,"Daylight",2,9,2,3,1,31
"1241",1,2015-08-15,"12:43",6,1,1,"Daylight",1,9,3,1,1,46
"1242",2,2015-08-16,"09:34",3,1,1,"Daylight",1,9,1,3,1,51
"1243",2,2015-08-17,"11:50",6,1,1,"Daylight",1,1,1,3,2,7
"1244",2,2015-08-17,"20:00",3,1,1,"Daylight",1,3,1,3,1,20
"1245",2,2015-08-23,"19:00",3,2,1,"Daylight",2,5,1,3,1,36
"1246",2,2015-08-25,"12:20",6,1,1,"Daylight",1,9,1,3,2,55
"1247",2,2015-08-25,"12:20",6,1,1,"Daylight",1,11,1,3,1,58
"1248",2,2015-08-25,"12:20",6,1,1,"Daylight",1,11,2,3,2,79
"1249",1,2015-08-26,"13:56",3,1,1,"Daylight",1,9,3,3,1,7
"1250",2,2015-08-27,"07:30",3,1,1,"Daylight",1,3,1,3,1,19
"1251",1,2015-08-27,"16:10",6,1,1,"Daylight",1,9,3,3,1,9
"1252",2,2015-08-27,"16:55",6,1,1,"Daylight",1,1,1,3,1,9
"1253",2,2015-08-28,"14:15",3,2,1,"Daylight",1,9,2,2,2,71
"1254",2,2015-08-28,"14:15",3,2,1,"Daylight",1,9,1,3,2,47
"1255",2,2015-08-28,"14:15",3,2,1,"Daylight",1,9,1,3,1,68
"1256",2,2015-08-28,"14:15",3,2,1,"Daylight",1,1,1,3,2,15
"1257",1,2015-08-28,"23:45",6,1,6,"",1,9,1,3,1,21
"1258",1,2015-08-28,"23:45",6,1,6,"",1,9,2,3,1,18
"1259",2,2015-09-03,"17:15",6,1,1,"Daylight",1,3,1,3,1,23
"1260",1,2015-09-03,"18:37",6,1,1,"Daylight",1,3,1,2,1,19
"1261",2,2015-09-01,"10:15",6,1,1,"Daylight",1,1,1,3,1,7
"1262",1,2015-09-06,"00:50",3,1,4,"Dark",1,9,1,3,2,26
"1263",2,2015-09-06,"18:49",3,1,1,"Daylight",1,3,1,2,1,30
"1264",1,2015-09-07,"08:20",6,2,1,"Daylight",1,9,3,3,1,18
"1265",2,2015-09-09,"06:55",3,1,1,"Daylight",1,9,1,3,1,56
"1266",2,2015-09-09,"07:40",3,1,1,"Daylight",1,4,1,3,1,56
"1267",2,2015-09-09,"13:32",3,1,1,"Daylight",1,9,1,3,2,41
"1268",1,2015-09-06,"08:30",6,1,1,"Daylight",1,9,3,3,1,46
"1269",1,2015-09-10,"14:00",3,1,1,"Daylight",1,9,1,3,2,53
"1270",2,2015-09-11,"15:10",6,1,1,"Daylight",1,9,1,3,2,35
"1271",2,2015-09-11,"15:10",6,1,1,"Daylight",1,19,1,3,1,63
"1272",1,2015-09-12,"07:54",4,2,1,"Daylight",2,9,1,3,1,27
"1273",2,2015-09-13,"12:45",3,1,1,"Daylight",1,1,1,3,1,68
"1274",2,2015-09-13,"19:24",6,1,4,"Dark",1,9,1,3,1,23
"1275",2,2015-09-16,"08:26",3,1,1,"Daylight",1,9,1,3,2,50
"1276",2,2015-09-16,"08:26",3,1,1,"Daylight",1,9,1,3,2,45
"1277",1,2015-09-16,"11:15",6,1,1,"Daylight",1,9,3,3,2,25
"1278",1,2015-09-16,"12:48",6,1,1,"Daylight",1,1,1,2,1,31
"1279",2,2015-09-16,"10:15",3,1,1,"Daylight",1,9,1,3,1,25
"1280",4,2015-09-17,"20:15",6,1,4,"Dark",1,9,1,3,2,32
"1281",4,2015-09-17,"20:15",6,1,4,"Dark",1,9,1,3,2,56
"1282",1,2015-09-18,"16:40",6,1,1,"Daylight",1,9,3,3,1,44
"1283",2,2015-09-19,"15:50",3,1,1,"Daylight",1,1,1,3,1,63
"1284",2,2015-09-21,"17:31",6,1,1,"Daylight",1,9,1,3,1,59
"1285",2,2015-09-22,"08:30",3,1,1,"Daylight",1,9,1,3,2,18
"1286",2,2015-09-24,"10:05",6,2,1,"Daylight",1,2,1,3,2,22
"1287",2,2015-09-24,"22:40",3,1,4,"Dark",1,9,1,3,2,23
"1288",2,2015-09-24,"22:40",3,1,4,"Dark",1,9,1,3,2,46
"1289",1,2015-09-25,"08:05",6,1,1,"Daylight",1,9,3,3,1,11
"1290",2,2015-09-25,"12:26",3,1,1,"Daylight",1,9,2,3,2,47
"1291",2,2015-09-27,"08:25",3,1,1,"Daylight",1,9,1,3,2,55
"1292",2,2015-09-27,"15:00",6,1,1,"Daylight",1,1,1,3,1,50
"1293",2,2015-09-27,"17:10",3,1,1,"Daylight",1,9,1,3,1,20
"1294",1,2015-09-28,"10:23",3,1,1,"Daylight",1,11,3,2,1,61
"1295",2,2015-09-28,"16:08",6,1,1,"Daylight",1,9,3,3,1,16
"1296",1,2015-09-28,"09:50",3,1,1,"Daylight",1,11,2,3,1,78
"1297",2,2015-09-29,"20:05",6,1,4,"Dark",1,9,2,3,2,47
"1298",1,2015-09-30,"15:41",3,1,1,"Daylight",1,9,3,2,1,10
"1299",2,2015-10-01,"16:40",6,1,1,"Daylight",1,9,1,3,2,25
"1300",2,2015-10-01,"16:40",6,1,1,"Daylight",1,9,2,3,2,29
"1301",1,2015-10-01,"18:30",6,1,1,"Daylight",1,9,3,3,2,5
"1302",1,2015-10-02,"12:09",6,1,1,"Daylight",1,9,3,2,1,1
"1303",2,2015-10-02,"16:20",3,1,1,"Daylight",1,5,1,3,1,35
"1304",2,2015-10-02,"16:20",3,1,1,"Daylight",1,9,1,3,1,36
"1305",2,2015-10-03,"18:25",6,1,1,"Daylight",1,1,1,3,1,6
"1306",1,2015-10-02,"21:15",6,1,4,"Dark",1,9,3,3,1,63
"1307",4,2015-10-04,"07:40",6,1,1,"Daylight",1,9,1,3,1,24
"1308",2,2015-10-04,"12:40",3,1,1,"Daylight",1,9,1,3,1,27
"1309",3,2015-10-05,"12:30",3,1,1,"Daylight",1,9,1,3,1,53
"1310",3,2015-10-05,"12:30",3,1,1,"Daylight",1,9,2,3,1,19
"1311",2,2015-10-06,"19:45",6,1,4,"Dark",1,1,1,3,1,16
"1312",2,2015-10-07,"06:55",3,2,4,"Dark",2,1,1,3,1,28
"1313",1,2015-10-09,"17:00",6,1,1,"Daylight",1,9,3,3,1,5
"1314",2,2015-10-10,"12:19",3,1,1,"Daylight",1,9,1,3,2,32
"1315",2,2015-10-10,"12:19",3,1,1,"Daylight",1,9,1,3,1,41
"1316",1,2015-10-10,"15:27",6,1,1,"Daylight",1,9,3,2,2,13
"1317",2,2015-10-11,"19:33",3,1,4,"Dark",1,9,1,2,1,26
"1318",2,2015-10-11,"19:33",3,1,4,"Dark",1,9,1,2,1,19
"1319",2,2015-10-12,"07:41",2,1,1,"Daylight",1,5,1,2,1,37
"1320",1,2015-10-12,"16:18",6,1,1,"Daylight",1,9,3,3,1,7
"1321",2,2015-10-13,"14:09",3,1,1,"Daylight",1,9,1,3,2,59
"1322",2,2015-10-14,"11:45",3,1,1,"Daylight",1,9,1,3,2,54
"1323",2,2015-10-14,"11:45",3,1,1,"Daylight",1,9,1,2,1,83
"1324",2,2015-10-15,"14:22",6,1,1,"Daylight",1,9,1,3,1,28
"1325",2,2015-10-16,"16:20",6,1,1,"Daylight",1,18,1,3,1,47
"1326",2,2015-10-16,"16:20",6,1,1,"Daylight",1,18,2,3,1,9
"1327",2,2015-10-16,"16:20",6,1,1,"Daylight",1,18,2,3,2,10
"1328",2,2015-10-16,"16:20",6,1,1,"Daylight",1,9,1,3,1,41
"1329",3,2015-10-17,"10:45",6,1,1,"Daylight",1,9,1,3,1,19
"1330",2,2015-10-18,"07:54",3,2,1,"Daylight",1,9,1,3,1,43
"1331",2,2015-10-19,"20:58",6,1,4,"Dark",1,9,1,2,2,21
"1332",2,2015-10-19,"20:58",6,1,4,"Dark",1,9,1,3,1,49
"1333",2,2015-10-19,"20:58",6,1,4,"Dark",1,9,2,3,2,12
"1334",1,2015-10-20,"17:16",6,1,1,"Daylight",1,21,3,3,2,18
"1335",2,2015-10-21,"18:10",3,1,4,"Dark",1,3,1,3,1,31
"1336",2,2015-10-25,"12:10",3,1,1,"Daylight",1,9,1,3,1,54
"1337",2,2015-10-25,"12:10",3,1,1,"Daylight",1,9,1,3,1,25
"1338",2,2015-10-27,"12:50",6,2,1,"Daylight",1,9,1,3,1,30
"1339",2,2015-10-28,"09:40",1,1,1,"Daylight",2,9,2,3,2,8
"1340",2,2015-10-28,"09:40",1,1,1,"Daylight",2,9,2,3,2,13
"1341",2,2015-10-29,"10:00",6,2,1,"Daylight",4,9,1,3,2,42
"1342",1,2015-11-01,"04:15",6,2,4,"Dark",7,9,1,3,1,29
"1343",1,2015-11-01,"04:15",6,2,4,"Dark",7,9,2,3,2,36
"1344",1,2015-11-01,"04:15",6,2,4,"Dark",7,9,2,3,1,27
"1345",1,2015-11-01,"04:15",6,2,4,"Dark",7,9,2,3,2,23
"1346",2,2015-11-01,"13:37",6,1,1,"Daylight",1,1,1,2,1,44
"1347",2,2015-11-04,"11:15",3,1,1,"Daylight",1,1,1,3,2,26
"1348",2,2015-11-04,"19:06",3,2,1,"Daylight",1,1,1,2,2,42
"1349",1,2015-11-05,"17:55",2,2,4,"Dark",7,9,3,3,2,19
"1350",1,2015-11-05,"19:30",6,2,4,"Dark",2,9,3,2,1,28
"1351",1,2015-11-07,"12:10",6,2,1,"Daylight",1,9,3,3,1,63
"1352",2,2015-11-07,"13:55",6,1,1,"Daylight",1,2,1,3,1,17
"1353",2,2015-11-07,"15:58",6,2,1,"Daylight",1,9,1,3,1,36
"1355",1,2015-11-08,"13:44",3,1,1,"Daylight",1,9,3,3,2,76
"1356",1,2015-11-08,"13:44",3,1,1,"Daylight",1,9,1,3,2,29
"1357",1,2015-11-08,"17:40",1,2,4,"Dark",5,9,1,3,2,27
"1358",2,2015-11-06,"17:15",4,1,4,"Dark",1,9,1,3,2,43
"1359",2,2015-11-09,"17:45",6,2,4,"Dark",1,9,1,3,2,24
"1360",1,2015-11-09,"18:11",3,2,4,"Dark",4,3,1,3,1,42
"1361",1,2015-11-09,"18:11",3,2,4,"Dark",4,3,3,3,1,25
"1362",1,2015-11-10,"15:10",6,2,1,"Daylight",2,9,3,3,2,15
"1363",2,2015-11-10,"09:46",6,1,1,"Daylight",1,9,1,3,1,31
"1364",1,2015-11-07,"12:00",6,2,1,"Daylight",1,9,3,3,2,87
"1365",2,2015-11-13,"06:47",3,2,4,"Dark",2,3,1,3,2,36
"1366",2,2015-11-13,"14:20",3,2,1,"Daylight",2,9,1,3,2,30
